City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,broken hill,-31.95,141.4333,68.45,53,100,8.55,AU,1731291068
153,afaahiti,-17.75,-149.2833,76.17,87,90,18.37,PF,1731291070
154,college,64.8569,-147.8028,1.38,78,20,4.61,US,1731290949
155,yeppoon,-23.1333,150.7333,79.83,65,91,13.49,AU,1731291072
156,tiksi,71.6872,128.8694,-1.68,100,91,2.3,RU,1731291073
157,qingquan,30.4511,115.2559,71.37,60,0,1.81,CN,1731291074
158,bykovo,55.6361,38.0803,33.53,75,75,6.71,RU,1731291076
159,qaqortoq,60.7167,-46.0333,26.44,74,100,7.16,GL,1731291077
160,petropavlovsk-kamchatsky,53.0452,158.6483,25.39,93,100,6.71,RU,1731291078
161,rongelap,11.1635,166.8941,83.01,76,1,19.22,MH,1731291079
162,al kharijah,25.4514,30.5464,61.25,50,0,6.29,EG,1731291081
163,santiago de cuba,20.0247,-75.8219,78.91,94,20,3.44,CU,1731291082
164,vila velha,-20.3297,-40.2925,73.35,73,75,8.05,BR,1731291083
165,tournus,46.5676,4.9057,45.07,95,5,5.46,FR,1731291084
166,itaituba,-4.2761,-55.9836,85.68,37,100,2.98,BR,1731291085
167,badger,64.8,-147.5333,1.31,83,0,4.61,US,1731291087
168,dunda,-8.1167,34.25,67.19,80,4,1.45,TZ,1731291088
169,mili,6.0815,171.735,82.85,76,34,14.23,MH,1731291089
170,metlili chaamba,32.2667,3.6333,60.04,59,1,13.38,DZ,1731291090
171,kayyerkan,69.3786,87.7439,-10.97,93,58,3.74,RU,1731291091
172,murghob,38.1702,73.9667,20.12,69,88,5.06,TJ,1731291093
173,severo-yeniseyskiy,60.3725,93.0408,18.81,90,100,5.08,RU,1731291094
174,tazovsky,67.4667,78.7,5.76,93,100,17.18,RU,1731291095
175,paszto,47.9202,19.6983,37.22,75,0,2.89,HU,1731291096
176,siran,40.1894,39.1267,40.78,35,100,3.56,TR,1731291097
177,east london,-33.0153,27.9116,62.58,86,100,6.78,ZA,1731291099
178,nyagan,62.1406,65.3936,11.84,83,42,12.57,RU,1731291100
179,kailua-kona,19.6406,-155.9956,83.28,76,20,9.22,US,1731291101
180,puri,19.8,85.85,74.5,69,100,11.52,IN,1731291102
181,zambezi,-13.5432,23.1047,64.33,94,11,4.05,ZM,1731291103
182,viedma,-40.8135,-62.9967,54.05,52,2,11.1,AR,1731291105
183,casas grandes,30.3667,-107.95,55.92,20,75,2.24,MX,1731291106
184,ribeira grande,38.5167,-28.7,69.78,84,92,15.01,PT,1731291107
185,dongning,44.0622,131.1207,42.03,25,1,7.65,CN,1731291108
186,richmond,37.5538,-77.4603,57.92,94,100,6.91,US,1731291004
187,murun-kuren,49.6342,100.1625,24.58,51,36,3.56,MN,1731291111
188,longyearbyen,78.2186,15.6401,30.04,93,75,3.44,SJ,1731291112
189,xiongzhou,25.1167,114.3,75.33,60,7,4.9,CN,1731291113
190,vadso,70.0744,29.7487,41.16,87,100,4.61,NO,1731291114
191,dakhla,23.6848,-15.958,69.85,66,0,12.1,EH,1731291116
192,al hazm,16.1641,44.7769,66.07,39,13,3.56,YE,1731291117
193,quthing,-30.4,27.7003,55.09,82,0,3.33,LS,1731291118
194,tyukhtet,56.5389,89.3011,31.51,89,100,14.34,RU,1731291119
195,constantia,44.1833,28.65,39.88,75,99,19.19,RO,1731291120
196,tommot,58.9564,126.2925,12.04,92,94,2.15,RU,1731291122
197,iowa falls,42.5225,-93.2513,49.93,81,100,11.5,US,1731291123
198,la mira,18.035,-102.3266,77.86,87,8,5.59,MX,1731291124
199,turtas,58.9417,69.1325,15.35,87,100,12.93,RU,1731291125
